from,to,relation
PaulSchaefer,PatriaYLibertad,2
PaulSchaefer,ManuelContreras,2
PaulSchaefer,HugoRoggendorf,3
PaulSchaefer,WalterRauff,"1,2,3"
PaulSchaefer,HansAlbertLoeper,"1,2,3"
PaulSchaefer,GerhardMertins,"2,3"
PaulSchaefer,FreundeskreisColoniaDignidad,3
PaulSchaefer,ManfredRoeder,3
PaulSchaefer,FranzJosefStrauss,"2,3"
PaulSchaefer,DeutscheBotschaft,2
PaulSchaefer,AugustoPinochet,"1,2,3"
PaulSchaefer,ErichStraetling,3
PaulSchaefer,WolfgangVogelgesang,3
PaulSchaefer,GerhardLoewenthal,3
AugustoPinochet,PaulSchaefer,"1,2,3"
PaulSchaefer,HartmutHopp,"2,3"
ReinhardDoering,PaulSchaefer,1
WolfgangKneese,PaulSchaefer,1
WolfgangKneese,LuisHenriquez,2
NathanBohnau,EdeltraudBohnau,3
NathanBohnau,PaulSchaefer,1
EdeltraudBohnau,PaulSchaefer,1
EdeltraudBohnau,WilliMalessa,8
WilliMalessa,PaulSchaefer,1
WilliMalessa,EdeltraudBohnau,8
MichaelMueller,PaulSchaefer,1
MichaelMueller,EstherMueller,8
EstherMueller,PaulSchaefer,1
EstherMueller,MichaelMueller,8
GuentherSchaffrik,PaulSchaefer,1
GuentherSchaffrik,ErikaTymm,8
KurtSchnellenkamp,PaulSchaefer,"1,2,3"
KurtSchnellenkamp,chilenischesMilitaer,1
KurtSchnellenkamp,GerhardMertins,1
ErikaTymm,PaulSchaefer,1
ErikaTymm,GuentherSchaffrik,8
MileMavroski,PaulSchaefer,5
PaulSchaefer,MarioRomero,1
MarioRomero,MileMavroski,5
JuergenKarwelat,PaulSchaefer,4
DieterMaier,PaulSchaefer,4
DieterMaier,JuergenKarwelat,"1,3"
AdolfHerkenrath,PaulSchaefer,7
HugoBaar,PaulSchaefer,4
LottiPackmor,PaulSchaefer,4
GeorgPackmor,PaulSchaefer,4
KarlAlbrechtStricker,PaulSchaefer,"4,5"
LottiPackmor,GeorgPackmor,"3,8"
GeorgPackmor,LottiPackmor,"3,8"
JuergenKarwelat,DieterMaier,"1,3"
OttoDoerr,PaulSchaefer,1
OttoDoerr,HartmutHopp,1
PaulSchaefer,RobertMatthusen,5
NorbertBluem,PaulSchaefer,4
PaulSchaefer,FriedhelmZeitner,1
AmnestyInternational,PaulSchaefer,4
HorstKullakUblick,PaulSchaefer,4
HernanLarrain,PaulSchaefer,"2,7"
KarlvandenBerg,PaulSchaefer,"1,2"
CasinoFamilar,PaulSchaefer,1
HartmutHopp,PaulSchaefer,"2,3"
StaatsanwaltschaftBonn,PaulSchaefer,4
HansBlank,PaulSchaefer,"1,2"
ErichFege,PaulSchaefer,"2,3"
TobiasMueller,PaulSchaefer,5
DorotheaHopp,PaulSchaefer,2
DorotheaHopp,HartmutHopp,8
HartmutHopp,DorotheaHopp,8
HansJuergenRiesland,PaulSchaefer,"2,3"
WolfgangMuellerAltevogt,PaulSchaefer,"2,3"
PeterRahl,PaulSchaefer,5
HeinrichSchlueter,PaulSchaefer,2
UrselSchmitdke,PaulSchaefer,5
GerdSeewald,PaulSchaefer,2
GiselaSeewald,PaulSchaefer,2
GerdSeewald,GiselaSeewald,8
GiselaSeewald,GerdSeewald,8
AlbertSchreiber,PaulSchaefer,2
EfrainVedder,PaulSchaefer,3
PaulSchaefer,WolfgangKneese,5
PaulSchaefer,WilliMalessa,5
PaulSchaefer,GuentherSchaffrik,5
PaulSchaefer,ErikaTymm,5
PaulSchaefer,EfrainVedder,3
