from,to,relation
PaulSchaefer,Patria y Libertad,2
PaulSchaefer,Manuel Contreras,2
PaulSchaefer,Hugo Roggendorf,3
PaulSchaefer,Walter Rauff,"1,2,3"
PaulSchaefer,Hans Albert Loeper,"1,2,3"
PaulSchaefer,Gerhard Mertins,"2,3"
PaulSchaefer,Freundeskreis Colonia Dignidad,3
PaulSchaefer,Manfred Roeder,3
PaulSchaefer,Franz Josef Strauss,"2,3"
PaulSchaefer,Deutsche Botschaft,2
PaulSchaefer,Augusto Pinochet,"1,2,3"
PaulSchaefer,Erich Straetling,3
PaulSchaefer,Wolfgang Vogelgesang,3
PaulSchaefer,Gerhard Loewenthal,3
