from,to,relation,period
PaulSchaefer,PatriaYLibertad,2,3
PaulSchaefer,ManuelContreras,2,3
PaulSchaefer,HugoRoggendorf,3,3
PaulSchaefer,WalterRauff,"1,2,3",3
PaulSchaefer,HansAlbertLoeper,"1,2,3",3
PaulSchaefer,GerhardMertins,"2,3",3
PaulSchaefer,FreundeskreisColoniaDignidad,3,3
PaulSchaefer,ManfredRoeder,3,3
PaulSchaefer,FranzJosefStrauss,"2,3","3,4"
PaulSchaefer,DeutscheBotschaft,2,3
PaulSchaefer,AugustoPinochet,"1,2,3",3
PaulSchaefer,ErichStraetling,"2,3","2,3"
PaulSchaefer,WolfgangVogelgesang,3,3
PaulSchaefer,GerhardLoewenthal,"2,3",3
AugustoPinochet,PaulSchaefer,"1,2,3",3
PaulSchaefer,HartmutHopp,"2,3","1,2,3,4"
ReinhardDoering,PaulSchaefer,1,"2,3,4"
WolfgangKneese,PaulSchaefer,1,"2,3"
WolfgangKneese,LuisHenriquez,2,4
NathanBohnau,EdeltraudBohnau,3,"1,2,3,4"
NathanBohnau,PaulSchaefer,1,3
EdeltraudBohnau,PaulSchaefer,1,3
EdeltraudBohnau,WilliMalessa,8,"3,4"
WilliMalessa,PaulSchaefer,1,"2,3"
WilliMalessa,EdeltraudBohnau,8,"3,4"
MichaelMueller,PaulSchaefer,1,3
MichaelMueller,EstherMueller,8,4
EstherMueller,PaulSchaefer,1,3
EstherMueller,MichaelMueller,8,4
GuentherSchaffrik,PaulSchaefer,1,"3,4"
GuentherSchaffrik,ErikaTymm,8,4
KurtSchnellenkamp,PaulSchaefer,"1,2,3","2,3,4"
KurtSchnellenkamp,chilenischesMilitaer,1,3
KurtSchnellenkamp,GerhardMertins,1,3
ErikaTymm,PaulSchaefer,1,"3,4"
ErikaTymm,GuentherSchaffrik,8,4
MileMavroski,PaulSchaefer,5,3
PaulSchaefer,MarioRomero,1,3
MarioRomero,MileMavroski,5,3
JuergenKarwelat,PaulSchaefer,4,3
DieterMaier,PaulSchaefer,4,3
DieterMaier,JuergenKarwelat,"1,3","3,4"
AdolfHerkenrath,PaulSchaefer,7,3
HugoBaar,PaulSchaefer,"2,4","2,3,10"
LottiPackmor,PaulSchaefer,4,3
GeorgPackmor,PaulSchaefer,4,3
KarlAlbrechtStricker,PaulSchaefer,"4,5","3,4"
LottiPackmor,GeorgPackmor,"3,8","1,2,3,4"
GeorgPackmor,LottiPackmor,"3,8","1,2,3,4"
JuergenKarwelat,DieterMaier,"1,3","3,4"
OttoDoerr,PaulSchaefer,1,"3,4"
OttoDoerr,HartmutHopp,1,"3,4"
PaulSchaefer,RobertMatthusen,5,3
NorbertBluem,PaulSchaefer,4,3
PaulSchaefer,FriedhelmZeitner,1,"3,4"
AmnestyInternational,PaulSchaefer,4,3
HorstKullakUblick,PaulSchaefer,4,3
HernanLarrain,PaulSchaefer,"2,7",3
KarlvandenBerg,PaulSchaefer,"1,2","3,4"
CasinoFamilar,PaulSchaefer,1,"3,4"
HartmutHopp,PaulSchaefer,"2,3","2,3,4"
StaatsanwaltschaftBonn,PaulSchaefer,4,"3,4"
HansBlank,PaulSchaefer,"1,2","3,4"
ErichFege,PaulSchaefer,"2,3","3,4"
TobiasMueller,PaulSchaefer,5,3
DorotheaHopp,PaulSchaefer,2,"3,4"
DorotheaHopp,HartmutHopp,8,"3,4"
HartmutHopp,DorotheaHopp,8,"3,4"
HansJuergenRiesland,PaulSchaefer,"2,3",3
WolfgangMuellerAltevogt,PaulSchaefer,"2,3",3
PeterRahl,PaulSchaefer,5,3
HeinrichSchlueter,PaulSchaefer,2,3
UrselSchmidtke,PaulSchaefer,5,3
GerdSeewald,PaulSchaefer,2,"3,4"
GiselaSeewald,PaulSchaefer,2,"3,4"
GerdSeewald,GiselaSeewald,8,"1,2,3,4"
GiselaSeewald,GerdSeewald,8,"1,2,3,4"
AlbertSchreiber,PaulSchaefer,2,"2,3,4"
EfrainVedder,PaulSchaefer,3,3
PaulSchaefer,WolfgangKneese,5,"2,3"
PaulSchaefer,WilliMalessa,5,"2,3"
PaulSchaefer,GuentherSchaffrik,5,"3,4"
PaulSchaefer,ErikaTymm,5,"3,4"
PaulSchaefer,EfrainVedder,3,3
PaulSchaefer,HorstSchaffrik,5,3
PaulSchaefer,RuthGert,"9,10",3
PaulSchaefer,AnnaSchaefer,6,1
PaulSchaefer,JakobSchaefer,6,1
PaulSchaefer,AlfredSchaak,"2,10",3
HermannSchmidt,PaulSchaefer,"2,10","1,2,3"
ArturoMaschke,PaulSchaefer,"1,2",3
JorgeAlessandriRodriguez,PaulSchaefer,"1,2",3
GuillermoOsorio,PaulSchaefer,"1,2",3
GerhardMuecke,PaulSchaefer,"1,2","2,3"
