id,name,power,age,nationality,country,subject,type,sex
AugustoPinochet,Augusto Pinochet,5,4,2,1,1,0,1
AdolfHerkenrath,Adolf Herkenrath,0,5,4,2,8,0,1
AmnestyInternational,Amnesty International,0,0,0,NA,9,1,NA
AnnaSchaefer,Anna Schaefer,0,NA,4,2,7,0,2
AlbertSchreiber,Albert Schreiber,5,5,4,2,6,0,1
AlfredSchaak,Alfred Schaak,5,5,4,2,6,0,1
ArturoMaschke,Arturo Maschke,3,5,2,1,1,0,1
CasinoFamilar,Casino Familar,0,0,0,1,6,1,NA
chilenischesMilitaer,chilenisches Militaer,0,0,2,1,1,1,NA
DeutscheBotschaft,Deutsche Botschaft,5,0,4,1,1,1,NA
DieterMaier,Dieter Maier,0,4,4,2,9,0,1
DorotheaHopp,Dorothea Hopp,5,NA,4,2,6,0,2
ErichStraetling,Erich Straetling,3,4,4,2,1,0,1
EdeltraudBohnau,Edeltraud Bohnau,0,4,4,2,6,0,2
EstherMueller,Esther Mueller,0,4,4,2,6,0,2
ErikaTymm,Erika Tymm,0,4,4,2,6,0,2
ErichFege,Erich Fege,5,NA,4,2,6,0,1
EfrainVedder,Efrain Vedder,1,4,2,1,6,0,1
FreundeskreisColoniaDignidad,Freundeskreis Colonia Dignidad,1,0,4,2,6,1,NA
FranzJosefStrauss,Franz Josef Strauss,4,4,4,2,1,0,1
FriedhelmZeitner,Friedhelm Zeitner,4,3,4,1,6,0,1
GerhardMertins,Gerhard Mertins,3,4,4,2,2,0,1
GerhardLoewenthal,Gerhard Loewenthal,3,4,4,2,1,0,1
GuentherSchaffrik,Guenther Schaffrik,0,4,4,2,6,0,1
GeorgPackmor,Georg Packmor,2,4,4,1,9,0,1
GerhardMuecke,Gerhard Muecke,5,4,4,1,6,0,1
GerdSeewald,Gerd Seewald,5,5,4,2,6,0,1
GiselaSeewald,Gisela Seewald,5,NA,4,2,6,0,2
GuillermoOsorio,Guillermo Osorio,3,5,2,1,1,0,1
HugoRoggendorf,Hugo Roggendorf,2,4,4,2,6,0,1
